OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-07-10T10:34:00.556608,14.35158127,.0005876,86.3889,340.1945,242.7230,117.3368,0,U,24946,999,50842,.49138931E-4,.16E-5,0
IRIDIUM 33 DEB,1997-051L,2026-07-10T09:49:03.026784,14.43687401,.00115305,86.4028,331.7230,168.9303,191.2154,0,U,33773,999,91372,.16697485E-3,.587E-5,0
IRIDIUM 33 DEB,1997-051N,2026-07-10T08:49:34.262688,14.42084848,.00131558,86.3646,320.0271,180.0275,204.3711,0,U,33775,999,91161,.27495072E-3,.924E-5,0
IRIDIUM 33 DEB,1997-051P,2026-07-10T09:32:11.522112,14.38567936,.00129143,86.4051,352.6949,222.8598,164.3931,0,U,33776,999,91096,.1423309E-3,.455E-5,0
IRIDIUM 33 DEB,1997-051Q,2026-07-10T20:58:32.038752,14.57023779,.0004665,86.3789,303.7001,263.9724,96.0953,0,U,33777,999,91592,.45167E-3,.2052E-4,0
IRIDIUM 33 DEB,1997-051T,2026-07-11T05:48:34.479936,14.42737051,.0011711,86.3416,299.6353,183.5704,202.7328,0,U,33850,999,91187,.22492E-3,.769E-5,0
IRIDIUM 33 DEB,1997-051W,2026-07-11T04:17:34.842336,13.99883530,.0205846,85.9972,257.4559,311.1124,74.7306,0,U,33853,999,88289,.21878E-3,.401E-5,0
IRIDIUM 33 DEB,1997-051AD,2026-07-10T08:57:07.243200,14.70499030,.00066799,86.3815,294.1883,352.6794,48.9279,0,U,33860,999,91800,.63222952E-3,.3857E-4,0
IRIDIUM 33 DEB,1997-051AF,2026-07-10T23:42:09.580032,14.73771435,.0049492,86.4088,304.4616,61.0259,24.1605,0,U,33862,999,91916,.4341E-3,.2919E-4,0
IRIDIUM 33 DEB,1997-051AK,2026-07-10T23:29:24.782784,14.26459175,.0112356,86.3014,3.9941,204.9958,312.8939,0,U,33866,999,89806,.79562E-3,.2065E-4,0
IRIDIUM 33 DEB,1997-051AP,2026-07-10T08:47:48.509952,14.46889926,.00200209,86.3761,328.3384,200.1609,191.2209,0,U,33870,999,91167,.37968568E-3,.14E-4,0
IRIDIUM 33 DEB,1997-051BA,2026-07-11T00:04:39.497088,14.62312736,.0054214,86.3846,14.8663,181.0667,334.7615,0,U,33881,999,90567,.15657E-2,.8095E-4,0
IRIDIUM 33 DEB,1997-051BD,2026-07-11T04:06:08.210304,14.83463098,.0007777,86.3657,274.3198,288.4079,96.2849,0,U,33884,999,91961,.73456E-3,.6063E-4,0
