OBJECT_NAME,OBJECT_ID,EPOCH,INCLINATION,ECCENTRICITY,MEAN_MOTION,Altitude_KM,Orbit_Zone,Collision_Risk_Score
IRIDIUM 33,1997-051C,2026-07-10T10:34:00.556608,86.3889,0.0005876,14.35158127,774.54,LEO (Low Earth Orbit),37.81
IRIDIUM 33 DEB,1997-051L,2026-07-10T09:49:03.026784,86.4028,0.00115305,14.43687401,746.34,LEO (Low Earth Orbit),42.23
IRIDIUM 33 DEB,1997-051N,2026-07-10T08:49:34.262688,86.3646,0.00131558,14.42084848,751.62,LEO (Low Earth Orbit),41.4
IRIDIUM 33 DEB,1997-051P,2026-07-10T09:32:11.522112,86.4051,0.00129143,14.38567936,763.23,LEO (Low Earth Orbit),39.58
IRIDIUM 33 DEB,1997-051Q,2026-07-10T20:58:32.038752,86.3789,0.0004665,14.57023779,702.8,LEO (Low Earth Orbit),49.14
IRIDIUM 33 DEB,1997-051T,2026-07-11T05:48:34.479936,86.3416,0.0011711,14.42737051,749.47,LEO (Low Earth Orbit),41.74
IRIDIUM 33 DEB,1997-051W,2026-07-11T04:17:34.842336,85.9972,0.0205846,13.9988353,894.2,LEO (Low Earth Orbit),19.54
IRIDIUM 33 DEB,1997-051AD,2026-07-10T08:57:07.243200,86.3815,0.00066799,14.7049903,659.48,LEO (Low Earth Orbit),56.12
IRIDIUM 33 DEB,1997-051AF,2026-07-10T23:42:09.580032,86.4088,0.0049492,14.73771435,649.05,LEO (Low Earth Orbit),57.81
IRIDIUM 33 DEB,1997-051AK,2026-07-10T23:29:24.782784,86.3014,0.0112356,14.26459175,803.59,LEO (Low Earth Orbit),33.31
IRIDIUM 33 DEB,1997-051AP,2026-07-10T08:47:48.509952,86.3761,0.00200209,14.46889926,735.82,LEO (Low Earth Orbit),43.89
IRIDIUM 33 DEB,1997-051BA,2026-07-11T00:04:39.497088,86.3846,0.0054214,14.62312736,685.72,LEO (Low Earth Orbit),51.88
IRIDIUM 33 DEB,1997-051BD,2026-07-11T04:06:08.210304,86.3657,0.0007777,14.83463098,618.41,LEO (Low Earth Orbit),62.83
IRIDIUM 33 DEB,1997-051BF,2026-07-10T09:06:17.673408,86.3849,0.00118326,14.36278431,770.82,LEO (Low Earth Orbit),38.39
IRIDIUM 33 DEB,1997-051BG,2026-07-11T04:45:58.530240,86.3032,0.0003983,14.37412355,767.06,LEO (Low Earth Orbit),38.98
IRIDIUM 33 DEB,1997-051BN,2026-07-10T07:41:11.182848,86.3861,0.00185175,14.57279611,701.97,LEO (Low Earth Orbit),49.27
IRIDIUM 33 DEB,1997-051BV,2026-07-10T10:53:48.973920,86.2562,0.00047123,14.94715103,583.26,LEO (Low Earth Orbit),68.66
IRIDIUM 33 DEB,1997-051CB,2026-07-10T07:41:21.682176,86.3936,0.00064759,14.50445665,724.19,LEO (Low Earth Orbit),45.73
IRIDIUM 33 DEB,1997-051CE,2026-07-11T04:56:10.387392,86.3441,0.000973,14.50449785,724.18,LEO (Low Earth Orbit),45.73
IRIDIUM 33 DEB,1997-051CL,2026-07-11T02:39:33.177024,86.3855,0.0009427,14.68327473,666.41,LEO (Low Earth Orbit),54.99
IRIDIUM 33 DEB,1997-051CN,2026-07-11T05:25:15.496320,86.3731,0.0003692,14.90238168,597.19,LEO (Low Earth Orbit),66.34
IRIDIUM 33 DEB,1997-051CX,2026-07-10T14:37:33.714336,86.3775,0.0005422,15.05773974,549.13,LEO (Low Earth Orbit),74.39
IRIDIUM 33 DEB,1997-051DA,2026-07-10T08:19:56.204256,86.3471,0.00255155,14.96186236,578.69,LEO (Low Earth Orbit),69.42
IRIDIUM 33 DEB,1997-051DG,2026-07-11T03:43:24.184992,86.1971,0.0081304,14.3624594,770.93,LEO (Low Earth Orbit),38.38
IRIDIUM 33 DEB,1997-051DY,2026-07-11T02:47:52.913760,86.2091,0.0054186,14.43751439,746.13,LEO (Low Earth Orbit),42.26
IRIDIUM 33 DEB,1997-051DZ,2026-07-10T03:54:44.927136,86.2805,0.00242109,14.50290229,724.7,LEO (Low Earth Orbit),45.65
IRIDIUM 33 DEB,1997-051EN,2026-07-10T08:24:35.801568,86.3524,0.00260779,14.38994067,761.82,LEO (Low Earth Orbit),39.8
IRIDIUM 33 DEB,1997-051ES,2026-07-11T05:10:14.848032,86.3259,0.0022155,14.45927428,738.98,LEO (Low Earth Orbit),43.39
IRIDIUM 33 DEB,1997-051FJ,2026-07-11T02:53:49.055424,86.3694,0.00215,14.55980391,706.18,LEO (Low Earth Orbit),48.6
IRIDIUM 33 DEB,1997-051FT,2026-07-11T04:16:56.993088,86.429,0.0100996,14.18371257,830.87,LEO (Low Earth Orbit),29.12
IRIDIUM 33 DEB,1997-051FU,2026-07-11T04:07:38.041248,86.294,0.0025666,14.66409162,672.55,LEO (Low Earth Orbit),54.0
IRIDIUM 33 DEB,1997-051GB,2026-07-11T04:28:09.261120,86.3772,0.0006885,15.0944368,537.9,LEO (Low Earth Orbit),76.29
IRIDIUM 33 DEB,1997-051GC,2026-07-10T13:33:06.479712,86.3428,0.003201,14.43514155,746.91,LEO (Low Earth Orbit),42.14
IRIDIUM 33 DEB,1997-051GH,2026-07-11T03:11:42.500256,86.4693,0.0175177,14.29464858,793.52,LEO (Low Earth Orbit),34.86
IRIDIUM 33 DEB,1997-051GN,2026-07-11T02:44:05.178048,86.2798,0.0079568,14.28150861,797.92,LEO (Low Earth Orbit),34.18
IRIDIUM 33 DEB,1997-051GZ,2026-07-10T18:57:12.851712,86.3705,0.0062938,14.3980276,759.15,LEO (Low Earth Orbit),40.22
IRIDIUM 33 DEB,1997-051HN,2026-07-10T07:13:59.155104,86.3787,0.000136,14.66019073,673.81,LEO (Low Earth Orbit),53.8
IRIDIUM 33 DEB,1997-051HS,2026-07-10T08:29:36.127968,86.3744,0.00066183,14.43419324,747.22,LEO (Low Earth Orbit),42.09
IRIDIUM 33 DEB,1997-051HW,2026-07-10T07:21:59.272992,86.3645,0.00036986,14.4088286,755.58,LEO (Low Earth Orbit),40.78
IRIDIUM 33 DEB,1997-051JF,2026-07-10T22:46:45.962976,86.2746,0.003309,14.43761234,746.1,LEO (Low Earth Orbit),42.27
IRIDIUM 33 DEB,1997-051JH,2026-07-11T01:19:49.228032,86.3089,0.0016565,14.79592903,630.61,LEO (Low Earth Orbit),60.83
IRIDIUM 33 DEB,1997-051JZ,2026-07-11T00:02:54.203136,86.3973,0.0169831,14.14925011,842.57,LEO (Low Earth Orbit),27.33
IRIDIUM 33 DEB,1997-051KC,2026-07-08T00:53:59.354592,86.2791,0.01292288,14.28686801,796.12,LEO (Low Earth Orbit),34.46
IRIDIUM 33 DEB,1997-051KD,2026-07-10T22:33:54.256320,86.3288,0.0024759,14.63815098,680.88,LEO (Low Earth Orbit),52.65
IRIDIUM 33 DEB,1997-051KM,2026-07-11T01:46:59.248704,86.3781,0.0010226,14.56094464,705.81,LEO (Low Earth Orbit),48.66
IRIDIUM 33 DEB,1997-051KT,2026-07-10T13:52:52.153824,86.1776,0.0059826,14.79063171,632.28,LEO (Low Earth Orbit),60.55
IRIDIUM 33 DEB,1997-051LJ,2026-07-10T07:14:25.864800,86.3396,0.00143998,14.41007312,755.17,LEO (Low Earth Orbit),40.84
IRIDIUM 33 DEB,1997-051MH,2026-07-11T03:03:35.941248,86.3945,0.0021525,14.53673316,713.68,LEO (Low Earth Orbit),47.4
IRIDIUM 33 DEB,1997-051MQ,2026-07-09T01:09:55.635840,86.31,0.00162143,14.80437108,627.94,LEO (Low Earth Orbit),61.26
IRIDIUM 33 DEB,1997-051MY,2026-07-09T21:05:58.053696,86.3274,0.00239025,14.68235551,666.71,LEO (Low Earth Orbit),54.94
IRIDIUM 33 DEB,1997-051NF,2026-07-11T04:46:21.327744,86.1302,0.0066646,14.62772891,684.23,LEO (Low Earth Orbit),52.11
IRIDIUM 33 DEB,1997-051NR,2026-07-10T08:56:41.671392,86.3713,0.00191873,14.42870402,749.03,LEO (Low Earth Orbit),41.81
IRIDIUM 33 DEB,1997-051NX,2026-07-10T12:45:59.093280,86.3226,0.0010703,14.48550383,730.39,LEO (Low Earth Orbit),44.75
IRIDIUM 33 DEB,1997-051NY,2026-07-10T13:34:57.545184,86.3308,0.0013598,14.38747424,762.64,LEO (Low Earth Orbit),39.67
IRIDIUM 33 DEB,1997-051PF,2026-07-04T14:47:24.799200,86.2025,0.00144083,15.5522713,401.49,LEO (Low Earth Orbit),100.0
IRIDIUM 33 DEB,1997-051PM,2026-07-07T16:45:32.836608,86.3895,0.00162929,14.46034862,738.63,LEO (Low Earth Orbit),43.45
IRIDIUM 33 DEB,1997-051PP,2026-07-10T06:53:05.523072,86.2876,0.00571951,14.42573693,750.01,LEO (Low Earth Orbit),41.65
